Id,Date,Time,String
841388172625182752,11/07/2022,16:45:00,Hi
841388172625182752,11/07/2022,16:45:22,Ho
841388172625182752,11/07/2022,16:46:19,My name is usman
841388172625182752,11/07/2022,16:46:26,I eat banana
841388172625182752,11/07/2022,19:01:59,i am rayyan
841388172625182752,11/07/2022,19:02:05,i am just awesome
892894476341764156,11/07/2022,19:02:13,Really
841388172625182752,11/07/2022,19:02:18,yes
892894476341764156,11/07/2022,19:02:20,How are u rayana baby
841388172625182752,11/07/2022,19:02:31,i am fine banny bhoi
892894476341764156,11/07/2022,19:02:47,Ya kiya hai?
841388172625182752,11/07/2022,19:03:02,Messages  store kar raha hon
841388172625182752,11/07/2022,19:03:15,ðŸ˜„
841388172625182752,12/07/2022,09:39:17,God
841388172625182752,12/07/2022,10:13:53,%c
841388172625182752,12/07/2022,23:44:36,Hi
841388172625182752,12/07/2022,23:44:40,Mey Usman hon
